Date,Close
15-05-1997,1.958333373
16-05-1997,1.729166627
19-05-1997,1.708333373
20-05-1997,1.635416627
21-05-1997,1.427083373
22-05-1997,1.395833373
23-05-1997,1.5
27-05-1997,1.583333373
28-05-1997,1.53125
29-05-1997,1.505208373
30-05-1997,1.5
02-06-1997,1.510416627
03-06-1997,1.479166627
04-06-1997,1.416666627
05-06-1997,1.541666627
06-06-1997,1.65625
09-06-1997,1.6875
10-06-1997,1.583333373
11-06-1997,1.541666627
12-06-1997,1.604166627
13-06-1997,1.583333373
16-06-1997,1.572916627
17-06-1997,1.505208373
18-06-1997,1.510416627
19-06-1997,1.510416627
20-06-1997,1.526041627
23-06-1997,1.5
24-06-1997,1.510416627
25-06-1997,1.510416627
26-06-1997,1.510416627
27-06-1997,1.489583373
30-06-1997,1.541666627
01-07-1997,1.515625
02-07-1997,1.588541627
03-07-1997,1.911458373
07-07-1997,2
08-07-1997,2.302083254
09-07-1997,2.322916746
10-07-1997,2.5625
11-07-1997,2.291666746
14-07-1997,2.135416746
15-07-1997,2.4375
16-07-1997,2.333333254
17-07-1997,2.21875
18-07-1997,2.15625
21-07-1997,2.182291746
22-07-1997,2.135416746
23-07-1997,2.291666746
24-07-1997,2.260416746
25-07-1997,2.229166746
28-07-1997,2.322916746
29-07-1997,2.479166746
30-07-1997,2.447916746
31-07-1997,2.395833254
01-08-1997,2.416666746
04-08-1997,2.3125
05-08-1997,2.208333254
06-08-1997,2.25
07-08-1997,2.177083254
08-08-1997,2.291666746
11-08-1997,2.328125
12-08-1997,2.197916746
13-08-1997,2.197916746
14-08-1997,2.15625
15-08-1997,2.114583254
18-08-1997,2.041666746
19-08-1997,2.166666746
20-08-1997,2.166666746
21-08-1997,2.114583254
22-08-1997,2.125
25-08-1997,2.21875
26-08-1997,2.34375
27-08-1997,2.317708254
28-08-1997,2.375
29-08-1997,2.338541746
02-09-1997,2.354166746
03-09-1997,2.333333254
04-09-1997,2.552083254
05-09-1997,2.5
08-09-1997,3
09-09-1997,3.239583254
10-09-1997,3.302083254
11-09-1997,3.15625
12-09-1997,3.6875
15-09-1997,3.09375
16-09-1997,3.354166746
17-09-1997,3.40625
18-09-1997,3.291666746
19-09-1997,3.947916746
22-09-1997,4.5
23-09-1997,4.625
24-09-1997,4.375
25-09-1997,4.078125
26-09-1997,4.166666508
29-09-1997,4.041666508
30-09-1997,4.338541508
01-10-1997,4.020833492
02-10-1997,4.010416508
03-10-1997,4.015625
06-10-1997,4.125
07-10-1997,4.057291508
08-10-1997,4.005208492
09-10-1997,3.75
10-10-1997,3.901041746
13-10-1997,4
14-10-1997,3.979166746
15-10-1997,3.921875
16-10-1997,3.625
17-10-1997,3.625
20-10-1997,3.822916746
21-10-1997,4.427083492
22-10-1997,4.520833492
23-10-1997,4.5
24-10-1997,5.026041508
27-10-1997,4.270833492
28-10-1997,4.947916508
29-10-1997,5.390625
30-10-1997,5.125
31-10-1997,5.083333492
03-11-1997,5.072916508
04-11-1997,4.958333492
05-11-1997,4.875
06-11-1997,4.661458492
